number,bestOf,title,earwolfUrl,guests,live
646,False,Ninja Nordstrom,https://www.earwolf.com/episode/ninja-nordstrom/,"['Shaun Diston', 'Lily Sullivan', 'Jacob Wysocki']",False
645,False,Jack FM Bumpers,https://www.earwolf.com/episode/jack-fm-bumpers/,"['Matt Braunger', 'Will Hines', 'Brad Evans', 'Nick Ciarelli']",False
644,False,Fall Olympics,https://www.earwolf.com/episode/fall-olympics/,"['Jon Gabrus', ""D'Arcy Carden"", 'Brandon Scott Jones', 'Dan Lippert']",False
643,False,The Order of the Keepers,https://www.earwolf.com/episode/the-order-of-the-keepers/,"['Neil Campbell', 'Paul F. Tompkins']",False
642,False,Chicago Chaperone,https://www.earwolf.com/episode/chicago-chaperone/,"['Jimmy Pardo', 'Niccole Thurman', 'Matt Apodaca']",False
641,False,Not My Aunt,https://www.earwolf.com/episode/not-my-aunt/,"['Adam Cayton-Holland', 'Jessica McKenna', 'Zach Reino']",False
640,False,Solo Bolo Sonicolo,https://www.earwolf.com/episode/solo-bolo-sonicolo/,['Ben Schwartz'],False
639,False,The Becky Button,https://www.earwolf.com/episode/the-becky-button/,"['Andy Samberg', 'Nick Kroll', 'Lily Sullivan']",False
638,False,One Last Heist,https://www.earwolf.com/episode/one-last-heist/,"['Jason Mantzoukas', 'Shaun Diston', 'Tim Baltz']",False
637,False,"Moshe Rock, Lord Andrew Lloyd Webber & Jim the Shim",https://www.earwolf.com/episode/moshe-rock-lord-andrew-lloyd-webber-jim-the-shim/,"['Moshe Kasher', 'Paul F. Tompkins', 'Tawny Newsome']",False
636,False,Hamburger Spider,https://www.earwolf.com/episode/hamburger-spider/,"['Kristian Bruun', 'Ben Rodgers', 'Lisa Gilroy']",False
635,False,Peanut Time Machine,https://www.earwolf.com/episode/peanut-time-machine/,"['Rob Huebel', 'Erinn Hayes', 'Jonathan Braylock', 'Jerah Milligan', 'James III']",False
634,False,"Wainscotting, Entree P. Neur & Italiano Jones",https://www.earwolf.com/episode/wainscotting-entree-p-neur-italiano-jones/,"['David Wain', 'Ego Nwodim', 'Carl Tart']",False
