number,bestOf,title,live,releaseDate,guests,earwolfUrl
640,FALSE,Solo Bolo Sonicolo,FALSE,2020-02-13,['Ben Schwartz'],https://www.earwolf.com/episode/solo-bolo-sonicolo/
639,FALSE,The Becky Button,FALSE,2020-02-10,"['Andy Samberg', 'Nick Kroll', 'Lily Sullivan']",https://www.earwolf.com/episode/the-becky-button/
638,FALSE,One Last Heist,FALSE,2020-02-03,"['Jason Mantzoukas', 'Shaun Diston', 'Tim Baltz']",https://www.earwolf.com/episode/one-last-heist/
637,FALSE,"Moshe Rock, Lord Andrew Lloyd Webber & Jim the Shim",FALSE,2020-01-27,"['Moshe Kasher', 'Paul F. Tompkins', 'Tawny Newsome']",https://www.earwolf.com/episode/moshe-rock-lord-andrew-lloyd-webber-jim-the-shim/
636,FALSE,Hamburger Spider,FALSE,2020-01-20,"['Kristian Bruun', 'Ben Rodgers', 'Lisa Gilroy']",https://www.earwolf.com/episode/hamburger-spider/
635,FALSE,Peanut Time Machine,FALSE,2020-01-16,"['Rob Huebel', 'Erinn Hayes', 'Jonathan Braylock', 'Jerah Milligan', 'James III']",https://www.earwolf.com/episode/peanut-time-machine/
634,FALSE,"Wainscotting, Entree P. Neur & Italiano Jones",FALSE,2020-01-13,"['David Wain', 'Ego Nwodim', 'Carl Tart']",https://www.earwolf.com/episode/wainscotting-entree-p-neur-italiano-jones/
633,FALSE,"Forky On Top, Porky On The Bottom",FALSE,2020-01-06,"['Ben Schwartz', 'Horatio Sanz']",https://www.earwolf.com/episode/forky-on-top-porky-on-the-bottom/
2019.4,TRUE,Best of 2019 Pt.4,FALSE,2020-01-02,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2019-pt-4/
2019.3,TRUE,Best of 2019 Pt.3,FALSE,2019-12-30,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2019-pt-3/
2019.2,TRUE,Best of 2019 Pt.2,FALSE,2019-12-26,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2019-pt-2/
2019.1,TRUE,Best of 2019 Pt.1,FALSE,2019-12-23,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2019-pt-1/
632,FALSE,2019 Holiday Spectacular,FALSE,2019-12-16,"['Carl Tart', 'Drew Tarver', 'Electric Guest', 'Jason Mantzoukas', 'Jon Gabrus', 'Lauren Lapkus', 'Lily Sullivan', 'Paul F. Tompkins', 'Shaun Diston', 'Tim Baltz']",https://www.earwolf.com/episode/2019-holiday-spectacular/
631,FALSE,What Are The Coordinates?,FALSE,2019-12-09,"['Rekha Shankar', 'Mary Holland', 'Jimmy Fowlie']",https://www.earwolf.com/episode/what-are-the-coordinates/
630,FALSE,Tattoos Clues,FALSE,2019-12-02,"['Thomas Middleditch', 'Jon Gabrus']",https://www.earwolf.com/episode/tattoos-clues/
629,FALSE,Pimp My Site,FALSE,2019-11-25,"['Demi Adejuyigbe', 'Gabe Gundacker', 'Ryan Rosenberg', 'Ify Nwadiwe']",https://www.earwolf.com/episode/pimp-my-site/
628,FALSE,Floating Bus Reform,FALSE,2019-11-18,"['Joel Kim Booster', 'Mitra Jouhari', 'Dan Lippert', 'Zac Oyama']",https://www.earwolf.com/episode/floating-bus-reform/
627,FALSE,How Bout That?,FALSE,2019-11-11,"['Allen Strickland Williams', 'Holly Prazoff', 'Jiavani Linayao']",https://www.earwolf.com/episode/how-bout-that/
626,FALSE,Trickery and Rhythm,FALSE,2019-11-04,"['Max Silvestri', 'Edgar Momplaisir', 'Zeke Nicholson']",https://www.earwolf.com/episode/trickery-and-rhythm/
625,FALSE,Petite Modeling,FALSE,2019-10-28,"['Jon Gabrus', ""Claudia O'Doherty"", 'Will Hines', 'Ben Rodgers']",https://www.earwolf.com/episode/petite-modeling/
624,FALSE,Clinkity Clank,FALSE,2019-10-21,"['Jocelyn DeBoer', 'Dawn Luebbe', 'Griffin Newman', 'Laci Mosley']",https://www.earwolf.com/episode/clinkity-clank/
623,FALSE,The Pragmatic Jokers,FALSE,2019-10-14,"['Sarah Baker', 'Matt Gourley', 'Paul F. Tompkins']",https://www.earwolf.com/episode/the-pragmatic-jokers/
622,FALSE,Pillow Coffin: Rudi North Returns,FALSE,2019-10-07,"['Jason Mantzoukas', 'Shaun Diston', 'Lily Sullivan', 'Tim Baltz']",https://www.earwolf.com/episode/pillow-coffin-rudi-north-returns/
621,FALSE,Untitled Wachs Project,FALSE,2019-09-30,"['Stephanie Wittels Wachs', 'Dan Lippert', 'Drew Tarver', 'Ryan Rosenberg']",https://www.earwolf.com/episode/untitled-wachs-project/
620,FALSE,Burbank is The Good Place,FALSE,2019-09-23,"[""D'Arcy Carden"", 'Anthony King', 'John Gemberling']",https://www.earwolf.com/episode/burbank-is-the-good-place/
619,FALSE,The Stars of Between Two Ferns: The Movie,FALSE,2019-09-16,"['Zach Galifianakis', 'Lauren Lapkus', 'Ryan Gaul', 'Jiavani Linayao']",https://www.earwolf.com/episode/the-stars-of-between-two-ferns-the-movie/
618,FALSE,Hot Yogurt,FALSE,2019-09-09,"['Kevin Nealon', 'Joe Wengert', 'Lily Sullivan']",https://www.earwolf.com/episode/hot-yogurt/
617,FALSE,Modern Nursery Rhymes,FALSE,2019-09-02,"['Anthony Jeselnik', 'Dan Lippert', 'Dhruv Uday Singh']",https://www.earwolf.com/episode/modern-nursery-rhymes/
616,FALSE,Memphis Kansas Breeze with YACHT,FALSE,2019-08-26,"['YACHT', 'Shaun Diston', 'Carl Tart', 'Drew Tarver']",https://www.earwolf.com/episode/memphis-kansas-breeze-with-yacht/
615,FALSE,The Chastman Family,FALSE,2019-08-19,"['Tatiana Maslany', 'Kristian Bruun', 'Paul F. Tompkins', 'Kirby Howell-Baptiste']",https://www.earwolf.com/episode/the-chastman-family/
614,FALSE,Bean Dip & Randy Snutz Return: That’s What I Said,FALSE,2019-08-12,"['Adam DeVine', 'Edi Patterson', 'Tim Baltz']",https://www.earwolf.com/episode/bean-dip-randy-snutz-return-thats-what-i-said/
613,FALSE,Driving Beauty Queens,FALSE,2019-08-05,"['Moshe Kasher', 'Natasha Leggero', 'Drew Tarver', 'Ele Woods']",https://www.earwolf.com/episode/driving-beauty-queens/
612,FALSE,The Juice Is Loose,FALSE,2019-07-29,"['Jimmy Pardo', 'Carl Tart', 'Lauren Ashley Smith']",https://www.earwolf.com/episode/the-juice-is-loose/
611,FALSE,TindTeacher,FALSE,2019-07-22,"['Bryan Safi', 'Jon Gabrus', 'Zac Oyama', 'Edgar Momplaisir']",https://www.earwolf.com/episode/tindteacher/
610,FALSE,NutsStalgia,FALSE,2019-07-15,"['Alan Tudyk', 'Holly Prazoff', 'Ryan Rosenberg']",https://www.earwolf.com/episode/nutsstalgia/
609,FALSE,Donna Sticks Catering Experience,FALSE,2019-07-08,"['Andy Richter', 'Lily Sullivan', 'Oscar Montoya']",https://www.earwolf.com/episode/donna-sticks-catering-experience/
608,FALSE,Major League Bees,FALSE,2019-07-01,"['Tim Heidecker', 'Ben Rodgers', 'Will Hines']",https://www.earwolf.com/episode/major-league-bees/
607,FALSE,Are You a Heaux?,FALSE,2019-06-24,"['Beth  Stelling', 'Ego Nwodim', 'Betsy Sodaro']",https://www.earwolf.com/episode/are-you-a-heaux/
606,FALSE,Treasure Hunting with Silversun Pickups,FALSE,2019-06-17,"['Silversun Pickups', 'Paul F. Tompkins', 'Jessica McKenna']",https://www.earwolf.com/episode/treasure-hunting-with-silversun-pickups/
605,FALSE,Full Ninja Rights,FALSE,2019-06-10,"['Max Silvestri', 'Shaun Diston', 'Dan Lippert']",https://www.earwolf.com/episode/full-ninja-rights/
604,FALSE,Hashtag Song Goals with Seth Green,FALSE,2019-06-03,"['Seth Green', 'Carl Tart', 'Jon Daly', 'Gil Ozeri']",https://www.earwolf.com/episode/songgoals-with-seth-green/
603,FALSE,Fastidious Makeover with The Sloppy Boys,FALSE,2019-05-27,"['Mike Hanford', 'Neil Campbell', 'Tim Kalpakis', 'Jefferson Dutton']",https://www.earwolf.com/episode/fastidious-makeover-with-the-sloppy-boys/
602,FALSE,Four...Dollars Hundred,FALSE,2019-05-20,"['David Cross', 'Will Hines', 'Ele Woods']",https://www.earwolf.com/episode/four-dollars-hundred/
601,FALSE,20th Anniversary Special,FALSE,2019-05-13,"['Kulap Vilaysack', 'Lily Sullivan', 'Ryan Gaul']",https://www.earwolf.com/episode/20th-anniversary-special/
600,FALSE,Patrick McMahon Returns: A Story About Johnny McGory,FALSE,2019-05-06,"['Jason Mantzoukas', 'Andy Daly']",https://www.earwolf.com/episode/patrick-mcmahon-returns-a-story-about-johnny-mcgory/
599.5,FALSE,10th Anniversary Part 2,FALSE,2019-04-29,"['Thomas Middleditch', 'Adam Scott', 'Chelsea Peretti', 'Weird Al Yankovic', 'Ben Schwartz', 'Bobby Moynihan', 'Brendon Small', 'Drew Tarver', 'Horatio Sanz', 'James Adomian']",https://www.earwolf.com/episode/10th-anniversary-part-2/
599,FALSE,10th Anniversary Part 1,FALSE,2019-04-29,"['Jason Mantzoukas', 'Andy Daly', 'Paul F. Tompkins', 'Carl Tart', 'Ego Nwodim', 'Jessica McKenna', 'Jon Hamm', 'Lauren Lapkus', 'Madeline Walter', 'Matt Besser']",https://www.earwolf.com/episode/10th-anniversary-part-1/
598,FALSE,Secret Shopping with Motley Crue,FALSE,2019-04-22,"['Tim Robinson', 'Ryan Rosenberg', 'Natalie Palamides', 'Courtney Pauroso']",https://www.earwolf.com/episode/secret-shopping-with-motley-crue/
597,FALSE,Simpson and Smith: Selling Stories,FALSE,2019-04-15,"['Baron Vaughn', 'Zac Oyama', 'Ify Nwadiwe']",https://www.earwolf.com/episode/simpson-and-smith-selling-stories/
596,FALSE,Mr. Met and the Legitimate Witch,FALSE,2019-04-08,"['Griffin Newman', 'Paul F. Tompkins', 'Alison Rich']",https://www.earwolf.com/episode/mr-met-legitimate-witch/
