,number,bestOf,title,live,releaseDate,guests,earwolfUrl,contentfulId
79,621.0,False,Untitled Wachs Project,False,2019-09-30,"[""Stephanie Wittels Wachs"", ""Dan Lippert"", ""Drew Tarver"", ""Ryan Rosenberg""]",https://www.earwolf.com/episode/untitled-wachs-project/,3coGCGYpbcV8LNRgUeQwBs
80,620.0,False,Burbank is The Good Place,False,2019-09-23,"[""D'Arcy Carden"", ""Anthony King"", ""John Gemberling""]",https://www.earwolf.com/episode/burbank-is-the-good-place/,1z7OQz4Fp0OyGdGIA97TBD
81,619.0,False,The Stars of Between Two Ferns: The Movie,False,2019-09-16,"[""Zach Galifianakis"", ""Lauren Lapkus"", ""Ryan Gaul"", ""Jiavani Linayao""]",https://www.earwolf.com/episode/the-stars-of-between-two-ferns-the-movie/,3EFXISCtdxBrER6eAHy4Xm
82,618.0,False,Hot Yogurt,False,2019-09-09,"[""Kevin Nealon"", ""Joe Wengert"", ""Lily Sullivan""]",https://www.earwolf.com/episode/hot-yogurt/,710lKjGYyezlcqPnsgXlHT
83,617.0,False,Modern Nursery Rhymes,False,2019-09-02,"[""Anthony Jeselnik"", ""Dan Lippert"", ""Dhruv Uday Singh""]",https://www.earwolf.com/episode/modern-nursery-rhymes/,45oIMRnfZDhqAlGWG6Qgg7
84,616.0,False,Memphis Kansas Breeze with YACHT,False,2019-08-26,"[""YACHT"", ""Shaun Diston"", ""Carl Tart"", ""Drew Tarver""]",https://www.earwolf.com/episode/memphis-kansas-breeze-with-yacht/,5p883yaX3gSGKouGNGOIhm
85,615.0,False,The Chastman Family,False,2019-08-19,"[""Tatiana Maslany"", ""Kristian Bruun"", ""Paul F. Tompkins"", ""Kirby Howell-Baptiste""]",https://www.earwolf.com/episode/the-chastman-family/,3h2I6WdYDqHpKwx4gNvVuh
86,614.0,False,Bean Dip & Randy Snutz Return: That’s What I Said,False,2019-08-12,"[""Adam DeVine"", ""Edi Patterson"", ""Tim Baltz""]",https://www.earwolf.com/episode/bean-dip-randy-snutz-return-thats-what-i-said/,49FnBXEmbHGmkRFpaZUgDt
87,613.0,False,Driving Beauty Queens,False,2019-08-05,"[""Moshe Kasher"", ""Natasha Leggero"", ""Drew Tarver"", ""Ele Woods""]",https://www.earwolf.com/episode/driving-beauty-queens/,52u1gvRWCR8KQeKCgOMvuY
88,612.0,False,The Juice Is Loose,False,2019-07-29,"[""Jimmy Pardo"", ""Carl Tart"", ""Lauren Ashley Smith""]",https://www.earwolf.com/episode/the-juice-is-loose/,5eJtcN2I7tCxcZgIp8DfAQ
89,611.0,False,TindTeacher,False,2019-07-22,"[""Bryan Safi"", ""Jon Gabrus"", ""Zac Oyama"", ""Edgar Momplaisir""]",https://www.earwolf.com/episode/tindteacher/,2Uk7gHBpeZK94q7r4mjptv
